contact_id,full_name,email,phone,company,updated_at
B-081,AVA WEBER,AVA.WEBER81@EXAMPLE.COM,+15556976666,Soylent,2026-08-08
B-064,Tara Stone,TARA.STONE64@EXAMPLE.COM,481.445.8,Acme GmbH,2026-08-03
B-050,max berg,MAX.BERG50@EXAMPLE.COM,(690) 491-9,Soylent,2026-08-05
B-023,MIA CRUZ,MIA.CRUZ23@EXAMPLE.COM,(486) 426-9,Globex,2026-08-17
B-045,Ada Stone,ADA.STONE45@EXAMPLE.COM,+15559111075,Umbrella,2026-08-25
B-062,Lea Berg,LEA.BERG62@EXAMPLE.COM,642.794.6,Initech,2026-08-26
B-066,ELI BERG,ELI.BERG66@EXAMPLE.COM,(887) 526-6,Initech,2026-08-05
B-082,Igor Larsen,IGOR.LARSEN82@EXAMPLE.COM,(952) 227-7,Umbrella,2026-08-01
B-037,Omar Larsen,OMAR.LARSEN37@EXAMPLE.COM,(306) 535-6,Acme GmbH,2026-08-21
B-008,Max Silva,MAX.SILVA8@EXAMPLE.COM,+15556182273,Acme GmbH,2026-08-15
B-040,LIAM STONE,LIAM.STONE40@EXAMPLE.COM,+15551642810,Soylent,2026-08-19
B-002,cleo novak,CLEO.NOVAK2@EXAMPLE.COM,786.924.9,Globex,2026-08-24
B-056,Cleo Weber,CLEO.WEBER56@EXAMPLE.COM,+15553758341,Soylent,2026-08-19
B-031,SAM SILVA,SAM.SILVA31@EXAMPLE.COM,+15556693835,Initech,2026-08-18
B-057,mia patel,MIA.PATEL57@EXAMPLE.COM,311.321.2,Umbrella,2026-08-19
B-072,Hugo Moss,HUGO.MOSS72@EXAMPLE.COM,(772) 602-2,Soylent,2026-08-13
B-025,ELI OKAFOR,ELI.OKAFOR25@EXAMPLE.COM,+15556312691,Umbrella,2026-08-05
B-043,DAN CHAN,DAN.CHAN43@EXAMPLE.COM,(767) 485-1,Umbrella,2026-08-27
B-027,Ava Moss,AVA.MOSS27@EXAMPLE.COM,(284) 999-3,Umbrella,2026-08-14
B-077,ZOE WEBER,ZOE.WEBER77@EXAMPLE.COM,236.747.5,Soylent,2026-08-02
B-080,IVY WEBER,IVY.WEBER80@EXAMPLE.COM,(868) 223-2,Acme GmbH,2026-08-02
B-068,MIA STONE,MIA.STONE68@EXAMPLE.COM,(695) 328-1,Globex,2026-08-25
B-004,noah patel,NOAH.PATEL4@EXAMPLE.COM,+15558705088,Globex,2026-08-01
B-018,Ava Okafor,AVA.OKAFOR18@EXAMPLE.COM,(791) 296-9,Acme GmbH,2026-08-15
B-026,DAN DUBOIS,DAN.DUBOIS26@EXAMPLE.COM,366.230.8,Soylent,2026-08-04
B-059,liam berg,LIAM.BERG59@EXAMPLE.COM,615.685.0,Soylent,2026-08-03
B-065,IVY MOSS,IVY.MOSS65@EXAMPLE.COM,506.167.4,Soylent,2026-08-25
B-017,AVA DUBOIS,AVA.DUBOIS17@EXAMPLE.COM,869.665.4,Initech,2026-08-24
B-000,HUGO PATEL,HUGO.PATEL0@EXAMPLE.COM,(624) 340-5,Acme GmbH,2026-08-03
B-073,ada weber,ADA.WEBER73@EXAMPLE.COM,(593) 200-7,Globex,2026-08-05
B-001,LENA MOSS,LENA.MOSS1@EXAMPLE.COM,(751) 776-4,Initech,2026-08-19
B-020,Ivy Larsen,IVY.LARSEN20@EXAMPLE.COM,525.658.9,Umbrella,2026-08-27
B-014,Ben Kim,BEN.KIM14@EXAMPLE.COM,(411) 327-3,Globex,2026-08-19
B-051,liam dubois,LIAM.DUBOIS51@EXAMPLE.COM,(378) 730-5,Initech,2026-08-03
B-006,ZOE CRUZ,ZOE.CRUZ6@EXAMPLE.COM,+15553826378,Initech,2026-08-17
